,Average EVI,Average NDWI,Average MSAVI,Average Rainfall,lon,lat,Drought_Severity
29,0.537117981,0.212933288,0.681987218,3.052994521,74.02012877,17.78560909,1
30,0.529460841,0.215427216,0.665895961,2.907605479,73.93523396,17.92132394,1
31,0.477391581,0.12424568400000001,0.6368568920000001,2.569813699,74.0781257,17.67221594,1
32,0.538107556,0.228865939,0.685268222,2.730452055,73.91340581,17.96071874,1
33,0.548065857,0.224237081,0.698859363,2.459046575,73.99071683,17.86700065,1
34,0.5020123439999999,0.20515091,0.650143282,2.907605479,73.948755,17.92336402,1
35,0.536498427,0.23446599899999998,0.689976472,1.33509589,74.35639646,18.09313401,1
36,0.505086944,0.211250839,0.648767348,2.907605479,73.92680258,17.92782543,1
37,0.45808560299999995,0.125724997,0.615784517,3.018523288,74.01008053,17.71715887,1
38,0.5173175010000001,0.151443827,0.672165673,2.4032,74.15237049,16.68490531,1
39,0.5508667939999999,0.179835429,0.705161024,1.462219178,74.45599446,16.64955669,1
40,0.5611796520000001,0.188728812,0.711130397,2.956194521,74.12747671,16.67247212,1
41,0.547335696,0.23817385,0.69172046,1.788846575,74.22899476,17.1884135,1
42,0.531467458,0.193773141,0.685626702,1.852238356,74.37800862,17.08394164,1
43,0.52564011,0.18239941899999998,0.681245677,1.57389863,74.54172695,16.99842181,1
44,0.471737196,0.13424218699999999,0.62487903,2.2151315069999997,74.28779357,16.71452442,1
45,0.47936688200000005,0.150115271,0.637203978,1.852238356,74.37435362,17.06718386,1
46,0.541206857,0.195832093,0.6896407109999999,1.708756164,74.21613885,17.28775,1
47,0.53242642,0.16808509100000002,0.6849252029999999,2.7554109589999998,74.14753933,16.70181042,1
48,0.531655809,0.221838747,0.668624562,1.788846575,74.22336535,17.18097837,1
49,0.524881296,0.172818093,0.679903375,1.821586301,74.36062338,16.68465847,1
50,0.5657960479999999,0.191859237,0.714399727,1.668265753,74.42255644,16.63761702,1
51,0.522164086,0.1902542,0.672948,2.162216438,74.12351479,17.42747937,1
52,0.509598045,0.18225252,0.66328593,2.162216438,74.11881851,17.40879814,1
53,0.508017921,0.19036927,0.6578973810000001,1.852238356,74.36285073,17.05991109,1
54,0.479455976,0.165215064,0.622051342,3.1736575339999997,73.88670552,17.96244028,1
55,0.546905574,0.24015731199999998,0.689092514,3.1495068489999998,73.87173528,17.91789646,1
56,0.526884396,0.18584046,0.673353828,1.708756164,74.24626415,17.28393391,1
57,0.494549345,0.188691285,0.647662649,1.069783562,74.55804811,18.07188366,1
58,0.502895525,0.184140052,0.6600639070000001,1.693219178,74.27096305,18.0833653,1
59,0.569460273,0.20190689,0.7153987070000001,2.749950685,74.13481021,16.74841105,1
60,0.521675032,0.22120751800000002,0.660115531,1.263964384,74.69418184,18.49589193,1
